un_number,name_zh,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantities,excepted_quantities,packing_instruction,special_packing_provisions,portable_tank_instruction,portable_tank_special_provisions
0004,苦味酸铵，干的或湿的，按 质量含水低于10%,"AMMONIUM PICRATE dry or wetted with less than 10% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),PP26,-,-
0005,武器子(炮)弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0006,武器子(炮)弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.1E,-,-,-,0,E0,P130 LP101,PP67 L1,-,-8
0007,武器子(炮)弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.2F,-,-,-,0,E0,P130 LP101,-,-,-
0009,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",1.2G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0010,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",1.3G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0012,武器子(炮)弹，带惰性射 弹或轻武器子弹,"CARTRIDGES FOR WEAPONS, INERTPROJECTILE or CARTRIDGES, SMALL ARMS",1.4S,-,-,364,5 kg,E0,P130 LP101,-,-,-
0014,武器子(炮)弹，空包弹；或 轻武器子弹，空包弹；或工 具子弹，空包弹,"CARTRIDGES FOR WEAPONS, BLANK or CARTRIDGES, SMALL ARMS, BLANK or CARTRIDGES FOR TOOLS,BLANK",1.4S,-,-,364,5 kg,E0,P130 LP101,-,-,-
0015,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",1.2G,-,-,204,0,E0,P130 LP101,PP67 L1,-,-
0016,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",1.3G,-,-,204,0,E0,P130 LP101,PP67 L1,-,-
0018,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",1.2G,6.1 8,-,-,0,E0,P130 LP101,PP67 L1,-,-
0019,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",1.3G,6.1 8,-,-,0,E0,P130 LP101,PP67 L1,-,-
0020,毒性弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge",1.2K,6.1,-,274,0,E0,P101,-,-,-
0021,毒性弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge",1.3K,6.1,-,274,0,E0,P101,-,-,-
0027,黑火药(火药)，颗粒状或 粉状,"BLACK POWDER(GUNPOWDER), granular or as a meal",1.1D,-,-,-,0,E0,P113,PP50,-,-
0028,压缩黑火药(火药)或丸状 黑火药(火药),"BLACK POWDER(GUNPOWDER), COMPRESSED or BLACK POWDER (GUNPOWDER), IN PELLETS",1.1D,-,-,-,0,E0,P113,PP51,-,-
0029,非电引爆雷管，爆破用,"DETONATORS, NON-ELECTRIC for blasting",1.1B,-,-,-,0,E0,P131,PP68,-,-
0030,电引爆雷管，爆破用,"DETONATORS, ELECTRIC for blasting",1.1B,-,-,399,0,E0,P131,-,-,-
0033,炸弹，带有爆破装药,BOMBS with bursting charge,1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0034,炸弹，带有爆破装药,BOMBS with bursting charge,1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0035,炸弹，带有爆破装药,BOMBS with bursting charge,1.2D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0037,摄影闪光弹,"BOMBS, PHOTO-FLASH",1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0038,摄影闪光弹,"BOMBS, PHOTO-FLASH",1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0039,摄影闪光弹,"BOMBS, PHOTO-FLASH",1.2G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0042,助爆管，不带雷管,BOOSTERS without detonator,1.1D,-,-,-,0,E0,P132(a) P132(b),-,-,-
0043,起爆装置，爆炸性,"BURSTERS, explosive",1.1D,-,-,-,0,E0,P133,PP69,-,-
0044,帽型底火,"PRIMERS, CAP TYPE",1.4S,-,-,-,0,E0,P133,-,-,-
0048,爆破炸药,"CHARGES, DEMOLITION",1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0049,闪光弹,"CARTRIDGES, FLASH",1.1G,-,-,-,0,E0,P135,-,-,-
0050,闪光弹,"CARTRIDGES, FLASH",1.3G,-,-,-,0,E0,P135,-,-,-
0054,信号弹,"CARTRIDGES, SIGNAL",1.3G,-,-,-,0,E0,P135,-,-,-
0055,空弹壳，空弹药筒，带底火,"CASES, CARTRIDGE, EMPTY, WITH PRIMER",1.4S,-,-,364,5 kg,E0,P136,-,-,-
0056,深水炸药,"CHARGES, DEPTH",1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0059,聚能装药，不带雷管,"CHARGES, SHAPED without detonator",1.1D,-,-,-,0,E0,P137,PP70,-,-
0060,补助性爆破装药,"CHARGES, SUPPLEMENTARY, EXPLOSIVE",1.1D,-,-,-,0,E0,P132(a) P132(b),-,-,-
0065,导爆索，软的,"CORD, DETONATING, flexible",1.1D,-,-,-,0,E0,P139,PP71 PP72,-,-
0066,导火索,"CORD, IGNITER",1.4G,-,-,-,0,E0,P140,-,-,-
0070,爆炸式电缆切割器,"CUTTERS, CABLE, EXPLOSIVE",1.4S,-,-,-,0,E0,P134 LP102,-,-,-
0072,"环三亚甲基三硝胺(旋风 炸药,黑索今,RDX),湿 的，按质量含水不低 于15%","CYCLOTRIMETHYLENE-TRINITRAMINE (CYCLONITE;HEXOGEN;RDX), WETTED with not less than 15% water, by mass",1.1D,-,-,266,0,E0,P112(a),PP45,-,-
0073,弹药用雷管,DETONATORS FOR AMMUNITION,1.1B,-,-,-,0,E0,P133,-,-,-
0074,二硝基重氮苯酚(DDNP)， 湿的，按质量含水或醇和 水的混合物不低于40%,"DIAZODINITROPHENOL, WETTED with not less than 40% water, or mixture of alcohol and water, by mass",1.1A,-,-,266,0,E0,P110(a) P110(b),PP42,-,-
0075,二甘醇二硝酸酯，减敏的， 按质量含不低于25%不挥 发、不溶于水的减敏剂,"DIETHYLENEGLYCOL DINITRATE, DESENSITIZED with not less than 25% non- volatile, water-insoluble phlegmatizer, by mass",1.1D,-,-,266,0,E0,P115,PP53 PP54 PP57 PP58,-,-
0076,二硝基苯酚，干的或湿的， 按质量含水低于15%,"DINITROPHENOL, dry or wetted with less than 15% water, by mass",1.1D,6.1,-,-,0,E0,P112(a) P112(b) P112(c),PP26,-,-
0077,二硝基苯酚盐，碱金属，干 的或湿的，按质量含水低 于15%,"DINITROPHENOLATES, alkali metals, dry or wetted with less than15% water, by mass",1.3C,6.1,-,-,0,E0,P114(a) P114(b),PP26,-,-
0078,二硝基间苯二酚，干的或 湿的，按质量含水低 于15%,"DINITRORESORCINOL, dry or wetted with less than 15% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),PP26,-,-
0079,六硝基二苯胺(二苦胺；六 硝炸药),HEXANITRODIPHENYLAMINE (DIPICRYLAMINE; HEXYL),1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0081,A 型爆破炸药,"EXPLOSIVE, BLASTING, TYPE A",1.1D,-,-,-,0,E0,P116,PP63 PP66,-,-
0082,B型爆破炸药,"EXPLOSIVE, BLASTING, TYPE B",1.1D,-,-,-,0,E0,P116 IBC100,PP61 PP62 B9,-,-
0083,C 型爆破炸药,"EXPLOSIVE, BLASTING, TYPE C",1.1D,-,-,267,0,E0,P116,-,-,-
0084,D 型爆破炸药,"EXPLOSIVE, BLASTING, TYPE D",1.1D,-,-,-,0,E0,P116,-,-,-
0092,地面照明弹,"FLARES, SURFACE",1.3G,-,-,-,0,E0,P135,-,-,-
0093,空投照明弹,"FLARES, AERIAL",1.3G,-,-,-,0,E0,P135,-,-,-
0094,闪光粉,FLASH POWDER,1.1G,-,-,-,0,E0,P113,PP49,-,-
0099,爆炸式压裂装置，不带雷 管，油井用,"FRACTURING DEVICES, EXPLOSIVE without detonator, for oil wells",1.1D,-,-,-,0,E0,P134 LP102,-,-,-
0101,非起爆导火索,"FUSE, NON-DETONATING",1.3G,-,-,-,0,E0,P140,PP74 PP75,-,-
0102,导爆索(信管)，包金属的,"CORD (FUSE), DETONATING, metal clad",1.2D,-,-,-,0,E0,P139,PP71,-,-
0103,点火管，包金属的,"FUSE, IGNITER, tubular, metal clad",1.4G,-,-,-,0,E0,P140,-,-,-
0104,弱效应导爆索(信管)，包 金属的,"CORD (FUSE), DETONATING, MILD EFFECT, metal clad",1.4D,-,-,-,0,E0,P139,PP71,-,-
0105,安全导火索,"FUSE, SAFETY",1.4S,-,-,-,0,E0,P140,PP73,-,-
0106,起爆引信,"FUZES, DETONATING",1.1B,-,-,-,0,E0,P141,-,-,-
0107,起爆引信,"FUZES, DETONATING",1.2B,-,-,-,0,E0,P141,-,-,-
0110,练习用手榴弹，手投式或 枪械发射,"GRENADES, PRACTICE, hand or rifle",1.4S,-,-,-,0,E0,P141,-,-,-
0113,脒基亚硝氨基脒基叉肼， 湿的，按质量含水不低 于30%,"GUANYL NITROSAMINO GUANYLIDENE H YDRAZINE, WETTED with not less than 30% water, by mass",1.1A,-,-,266,0,E0,P110(a) P110(b),PP42,-,-
0114,脒基亚硝氨脒基四氮烯 (四氮烯)，湿的，按质量含 水或醇和水的混合物不低 于30%,"GUANYLNITROSAMINO- GUANYLTETRAZENE(TETRAZENE), WETTED with not less than 30% water, or mixture of alcohol and water, by mass",1.1A,-,-,266,0,E0,P110(a) P110(b),PP42,-,-
0118,黑克索利特炸药(黑索特 尔)，干的或湿的，按质量 含水低于15%,"HEXOLITE(HEXOTOL), dry or wetted with less than 15% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0121,点火器,IGNITERS,1.1G,-,-,-,0,E0,P142,-,-,-
0124,装药的喷射式钻孔枪，油 井用，不带雷管,"JET PERFORATING GUNS, CHARGED, oil well, without detonator",1.1D,-,-,-,0,E0,P101,-,-,-
0129,叠氮化铅，湿的，按质量含 水或醇和水的混合物不低 于20%,"LEAD AZIDE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,-,-,266,0,E0,P110(a) P110(b),PP42,-,-
0130,斯蒂芬酸铅(三硝基间苯 二酚铅)，湿的，按质量含 水或醇和水的混合物不低 于20%,"LEAD STYPHNATE(LEAD TRINITRORESORCINATE), WETTED with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,-,-,266,0,E0,P110(a) P110(b),PP42,-,-
0131,引信点火器,"LIGHTERS, FUSE",1.4S,-,-,-,0,E0,P142,-,-,-
0132,芳香族硝基衍生物的爆燃 性金属盐，未另作规定的,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N. O. S.",1.3C,-,-,-,0,E0,P114(a) P114(b),PP26,-,-
0133,甘露糖醇六硝酸酯(硝化 甘露醇)，湿的，按质量含 水或醇和水的混合物不低 于40%,"MANNITOL HEXANITRATE (NITROMANNITE), WETTED with not less than 40% water, or mixture of alcohol and water, by mass",1.1D,-,-,266,0,E0,P112(a),-,-,-
0135,雷酸汞，湿的，按质量含水 或醇和水的混合物不低 于20%,"MERCURY FULMINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,-,-,266,0,E0,P110(a) P110(b),PP42,-,-
0136,地雷或水雷，带有爆破 装药,MINES with bursting charge,1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0137,地雷或水雷，带有爆破 装药,MINES with bursting charge,1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0138,地雷或水雷，带有爆破 装药,MINES with bursting charge,1.2D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0143,减敏硝化甘油，按质量含 不低于40%不挥发、不溶 于水的减敏剂,"NITROGLYCERIN, DESENSITIZED with not less than 40% non-volatile water-insoluble phlegmatizer, by mass",1.1D,6.1,-,266 271,0,E0,P115,PP53 PP54 PP57 PP58,-,-
0144,硝化甘油醇溶液，含硝化 甘油高于1%，但不高 于10%,NITROGLYCERIN SOLUTION IN ALCOHOL with more than 1% but not more than 10% nitroglycerin,1.1D,-,-,358,0,E0,P115,PP45 PP55 PP56 PP59 PP60,-,-
0146,硝化淀粉，干的或湿的，按 质量含水低于20%,"NITROSTARCH, dry or wetted with less than 20% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0147,硝基脲,NITRO UREA,1.1D,-,-,-,0,E0,P112(b),-,-,-
0150,"季戊四醇四硝酸酯(季戊 炸药;太安;PETN),湿的, 按质量含水不低于25%， 或季戊四醇四硝酸酯(季 戊炸药;太安;PETN),减 敏的，按质量含不低于 15%的减敏剂","PENTAERYTHRITE TETRANITRATE (PENTAERYTHRITOL TETRANITRATE; PETN), WETTED with not less than 25% water, by mass, or PENTAERYTHRITE TETRANITRATE(PENTAERYTHRITOL TETRANITRATE; PETN), DESENSITIZED with not less than 15% phlegmatizer, by mass",1.1D,-,-,266,0,E0,P112(a) P112(b),-,-,-
0151,喷妥炸药，干的或湿的，按 质量含水低于15%,"PENTOLITE, dry or wetted with less than 15% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0153,三硝基苯胺(苦基胺),TRINITROANILINE(PICRAMIDE),1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0154,三硝基苯酚(苦味酸)，干 的或湿的，按质量含水低 于30%,"TRINITROPHENOL (PICRIC ACID), dry or wetted with less than 30% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),PP26,-,-
0155,三硝基氯苯(苦基氯),TRINITROCHLORO-BENZENE(PICRYL CHLORIDE),1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0159,块状火药(糊状火药)，湿 的，按质量含水不低 于 25%,"POWDER CAKE (POWDER PASTE), WETTED with not less than 25% water, by mass",1.3c,-,-,266,0,E0,P111,PP43,-,-
0160,无烟火药,"POWDER, SMOKELESS",1.1C,-,-,-,0,E0,P114(b),PP50 PP52,-,-
0161,无烟火药,"POWDER, SMOKELESS",1.3C,-,-,-,0,E0,P114(b),PP50 PP52,-,-
0167,射弹，带有爆破装药,PROJECTILES with bursting charge,1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0168,射弹，带有爆破装药,PROJECTILES with bursting charge,1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0169,射弹，带有爆破装药,PROJECTILES with bursting charge,1.2D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0171,照明弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge",1.2G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0173,爆炸式释放装置,"RELEASE DEVICES, EXPLOSIVE",1.4S,-,-,-,0,E0,P134 LP102,-,-,-
0174,爆炸式铆钉,"RIVETS, EXPLOSIVE",1.4S,-,-,-,0,E0,P134 LP102,-,-,-
0180,火箭，带有爆破装药,ROCKETS with bursting charge,1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0181,火箭，带有爆破装药,ROCKETS with bursting charge,1.1E,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0182,火箭，带有爆破装药,ROCKETS with bursting charge,1.2E,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0183,火箭，带有惰性弹头,ROCKETS with inert head,1.3C,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0186,火箭发动机,ROCKET MOTORS,1.3c,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0190,爆炸性物质样品，引爆炸 药除外,"SAMPLES, EXPLOSIVE, other than initiating explosive",-,-,-,16 274,-,E0,P101,-,-,-
0191,手提信号装置,"SIGNAL DEVICES, HAND",1.4G,-,-,-,0,E0,P135,-,-,-
0192,爆炸式铁路轨道信号器,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",1.1G,-,-,-,0,E0,P135,-,-,-
0193,爆炸式铁路轨道信号器,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",1.4S,-,-,-,0,E0,P135,-,-,-
0194,遇险求救信号器，船舶用,"SIGNALS, DISTRESS, ship",1.1G,-,-,-,0,E0,P135,-,-,-
0195,遇险求救信号器，船舶用,"SIGNALS, DISTRESS, ship",1.3G,-,-,-,0,E0,P135,-,-,-
0196,发烟信号器,"SIGNALS, SMOKE",1.1G,-,-,-,0,E0,P135,-,-,-
0197,发烟信号器,"SIGNALS, SMOKE",1.4G,-,-,-,0,E0,P135,-,-,-
0204,爆炸式声测装置,"SOUNDING DEVICES, EXPLOSIVE",1.2F,-,-,-,0,E0,P134 LP102,-,-,-
0207,四硝基苯胺,TETRANITROANILINE,1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0208,三硝基苯基甲硝胺(特屈 儿炸药),TRINITROPHENYLMETHYL-NITRAMINE (TETRYL),1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0209,三硝基甲苯(梯恩梯)，干 的或湿的，按质量含水低 于 30%,"TRINITROTOLUENE(TNT), dry or wetted with less than 30% water, by mass",1.1D,-,-,-,0,E0,P112(b) P112(c),PP46,-,-
0212,弹药曳光剂,TRACERS FOR AMMUNITION,1.3G,-,-,-,0,E0,P133,PP69,-,-
0213,三硝基苯甲醚,TRINITROANISOLE,1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0214,三硝基苯，干的或湿的，按 质量含水低于30%,"TRINITROBENZENE, dry or wetted with less than 30% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0215,三硝基苯甲酸，干的或湿 的，按质量含水低于30%,"TRINITROBENZOIC ACID, dry or wetted with less than 30% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0216,三硝基间甲苯酚,TRINITRO-m-CRESOL,1.1D,-,-,-,0,E0,P112(b) P112(c),PP26,-,-
0217,三硝基萘,TRINITRONAPHTHALENE,1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0218,三硝基苯乙醚,TRINITROPHENETOLE,1.1D,-,-,-,0,E0,P112(b) P112(c),-,-,-
0219,三硝基间苯二酚(斯蒂芬 酸)，干的或湿的，按质量 含水或醇和水的混合物低 于20%,"TRINITRORESORCINOL (STYPHNIC ACID), dry or wetted with less than 20% water, or mixture of alcohol and water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),PP26,-,-
0220,硝酸脲，干的或湿的，按质 量含水低于20%,"UREA NITRATE, dry or wetted with less than 20% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0221,鱼雷弹头，带有爆破装药,"WARHEADS, TORPEDO with bursting charge",1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0222,硝酸铵,AMMONIUM NITRATE,1.1D,-,-,370,0,E0,P112(b) P112(c) IBC100,PP47 B2 B3 B17,-,-
0224,叠氮化钡，干的或湿的，按 质量含水低于50%,"BARIUM AZIDE, dry or wetted with less than 50% water, by mass",1.1A,6.1,-,-,0,E0,P110(a) P110(b) LP101,PP42,-,-
0225,带有雷管的助爆管,BOOSTERS WITH DETONATOR,1.1B,-,-,-,0,E0,P133,PP69,-,-
0226,环四亚甲基四硝胺(HMX， 奥克托今)，湿的，按质量 含水不低于15%,"CYCLOTETRAMETHYLENE- TETRANITRAMINE(HMX;OCTOGEN), WETTED with not less than 15% water, by mass",1.1D,-,-,266,0,E0,P112(a),PP45,-,-
0234,二硝基邻甲苯酚钠，干的 或湿的，按质量含水低 于15%,"SODIUM DINITRO-o-CRESOLATE, dry or wetted with less than 15% water, by mass",1.3C,-,-,-,0,E0,P114(a) P114(b),PP26,-,-
0235,苦氨酸钠，干的或湿的，按 质量含水低于20%,"SODIUM PICRAMATE, dry or wetted with less than 20% water, by mass",1.3c,-,-,-,0,E0,P114(a)| P114(b),PP26,-,-
0236,苦氨酸锆，干的或湿的，按 质量含水低于 20%,"ZIRCONIUM PICRAMATE, dry or wetted with less than 20% water, by mass",1.3C,-,-,-,0,E0,P114(a) P114(b),PP26,-,-
0237,柔软线状聚能装药,"CHARGES, SHAPED, FLEXIBLE, LINEAR",1.4D,-,-,-,0,E0,P138,-,-,-
0238,抛绳用火箭,"ROCKETS, LINE-THROWING",1.2G,-,-,-,0,E0,P130 LP101,-,-,-
0240,抛绳用火箭,"ROCKETS, LINE-THROWING",1.3G,-,-,-,0,E0,P130 LP101,-,-,-
0241,E 型爆破炸药,"EXPLOSIVE, BLASTING, TYPE E",1.1D,-,-,-,0,E0,P116 IBC100,PP61 PP62 B10,-,-
0242,火炮发射药,"CHARGES, PROPELLING, FOR CANNON",1.3C,-,-,-,0,E0,P130,-,-,-
0243,白磷燃烧弹药，带有爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY, WHITE PHOSPHORUS with burster, expelling charge or propelling charge",1.2H,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0244,白磷燃烧弹药，带有爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY,WHITE PHOSPHORUS with burster, expelling charge or propelling charge",1.3H,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0245,白磷发烟弹药，带有爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE, WHITE PHOSPHORUS with burster, expelling charge or propelling charge",1.2H,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0246,白磷发烟弹药，带有爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE, WHITE PHOSPHORUS with burster, expelling charge or propelling charge",1.3H,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0247,燃烧弹药，液体或胶体，带 有爆破装药、发射装药或 推进装药,"AMMUNITION, INCENDIARY, liquid or gel, with burster, expelling charge or propelling charge",1.3J,-,-,-,0,E0,P101,-,-,-
0248,水激活装置，带有爆破装 药、发射装药或推进装药,"CONTRIVANCES, WATER-ACTIVATED with burster, expelling charge or propelling charge",1.2L,-,-,274,0,E0,P144,PP77,-,-
0249,水激活装置，带有爆破装 药、发射装药或推进装药,"CONTRIVANCES, WATER-ACTIVATED with burster, expelling charge or propelling charge",1.3L,-,-,274,0,E0,P144,PP77,-,-
0250,火箭发动机，装有双组分 液体燃料，带有或不带发 射装药,ROCKET MOTORS WITH HYPERGOLIC LIQUIDS with or without expelling charge,1.3L,-,-,-,0,E0,P101,-,-,-
0254,照明弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge",1.3G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0255,电引爆雷管，爆破用,"DETONATORS, ELECTRIC for blasting",1.4B,-,-,399,0,E0,P131,-,-,-
0257,起爆引信,"FUZES, DETONATING",1.4B,-,-,-,0,E0,P141,-,-,-
0266,奥克托利特(奥克托尔)， 干的或湿的，按质量含水 低于15%,"OCTOLITE (OCTOL), dry or wetted with less than 15% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0267,非电引爆雷管，爆破用,"DETONATORS, NON-ELECTRIC for blasting",1.4B,-,-,-,0,E0,P131,PP68,-,-
0268,带有雷管的助爆器,BOOSTERS WITH DETONATOR,1.2B,-,-,-,0,E0,P133,PP69,-,-
0271,推进剂,"CHARGES, PROPELLING",1.1C,-,-,-,0,E0,P143,PP76,-,-
0272,推进剂,"CHARGES, PROPELLING",1.3c,-,-,-,0,E0,P143,PP76,-,-
0275,动力装置用弹药筒,"CARTRIDGES, POWER DEVICE",1.3C,-,-,-,0,E0,P134 LP102,-,-,-
0276,动力装置用弹药筒,"CARTRIDGES, POWER DEVICE",1.4C,-,-,-,0,E0,P134 LP102,-,-,-
0277,油井用弹药筒,"CARTRIDGES, OIL WELL",1.3c,-,-,-,0,E0,P134 LP102,-,-,-
0278,油井用弹药筒,"CARTRIDGES, OIL WELL",1.4C,-,-,-,0,E0,P134 LP102,-,-,-
0279,火炮发射药,"CHARGES, PROPELLING, FOR CANNON",1.1C,-,-,-,0,E0,P130 LP101,-,-,-
0280,火箭发动机,ROCKET MOTORS,1.1C,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0281,火箭发动机,ROCKET MOTORS,1.2C,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0282,硝基胍(橄苦岩)，干的或 湿的，按质量含水低 于20%,"NITROGUANIDINE(PICRITE), dry or wetted with less than 20% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),-,-,-
0283,助爆管，不带雷管,BOOSTERS without detonator,1.2D,-,-,-,0,E0,P132(a) P132(b),-,-,-
0284,手榴弹或枪榴弹，带有爆 破装药,"GRENADES, hand or rifle, with bursting charge",1.1D,-,-,-,0,E0,P141,-,-,-
0285,手榴弹或枪榴弹，带有爆 破装药,"GRENADES, hand or rifle, with bursting charge",1.2D,-,-,-,0,E0,P141,-,-,-
0286,火箭弹头，带有爆破装药,"WARHEADS, ROCKET with bursting charge",1.1D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0287,火箭弹头，带有爆破装药,"WARHEADS, ROCKET with bursting charge",1.2D,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0288,柔软线状聚能装药,"CHARGES, SHAPED, FLEXIBLE, LINEAR",1.1D,-,-,-,0,E0,P138,-,-,-
0289,导爆索，软的,"CORD, DETONATING, flexible",1.4D,-,-,-,0,E0,P139,PP71 PP72,-,-
0290,导爆索(信管)，包金属的,"CORD (FUSE), DETONATING, metal clad",1.1D,-,-,-,0,E0,P139,PP71,-,-
0291,炸弹，带有爆破装药,BOMBS with bursting charge,1.2F,-,-,-,0,E0,P130 LP101,-,-,-
0292,手榴弹或枪榴弹，带有爆 破装药,"GRENADES, hand or rifle, with bursting charge",1.1F,-,-,-,0,E0,P141,-,-,-
0293,手榴弹或枪榴弹，带有爆 破装药,"GRENADES, hand or rifle, with bursting charge",1.2F,-,-,-,0,E0,P141,-,-,-
0294,地雷或水雷，带有爆破 装药,MINES with bursting charge,1.2F,-,-,-,0,E0,P130 LP101,-,-,-
0295,火箭，带有爆破装药,ROCKETS with bursting charge,1.2F,-,-,-,0,E0,P130 LP101,-,-,-
0296,爆炸式声测装置,"SOUNDING DEVICES, EXPLOSIVE",1.1F,-,-,-,0,E0,P134 LP102,-,-,-
0297,照明弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION ILLUMINATING with or without burster, expelling charge or propelling charge",1.4G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0299,摄影闪光弹,"BOMBS, PHOTO-FLASH",1.3G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0300,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",1.4G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0301,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",1.4G,6.1 8,-,-,0,E0,P130 LP101,PP67 L1,-,-
0303,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",1.4G,-,-,204,0,E0,P130 LP101,PP67 L1,-,-
0305,闪光粉,FLASH POWDER,1.3G,-,-,-,0,E0,P113,PP49,-,-
