un_number,name_zh,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantities,excepted_quantities,packing_instruction,special_packing_provisions,portable_tank_instruction,portable_tank_special_provisions
2733,胺，易燃，腐蚀性，未另作 规定的或聚胺，易燃，腐蚀 性，未另作规定的,"AMINES, FLAMMABLE, CORROSIVE, N. O. S. or POLY AMINES, FLAMMABLE, CORROSIVE, N. O. S.",3,8,Ⅲ,223 274,5 L,E1,P001 IBC03,-,T7,TP1 TP28
2734,液态胺，腐蚀性，易燃，未 另作规定的或液态聚胺， 腐蚀性，易燃，未另作规 定的,"AMINES, LIQUID, CORROSIVE, FLAMMABLE, N. O. S. or POLY AMINES, LIQUID, CORROSIVE, FLAMMABLE, N. O. S.",8,3,Ⅰ,274,0,E0,P001,-,T14,TP2 TP27
2734,液态胺，腐蚀性，易燃，未 另作规定的或液态聚胺， 腐蚀性，易燃，未另作规 定的,"AMINES, LIQUID, CORROSIVE, FLAMMABLE, N. O. S. or POLY AMINES, LIQUID, CORROSIVE, FLAMMABLE, N. O. S.",8,3,Ⅱ,274,1 L,E2,P001 IBC02,-,T11,TP2 TP27
2735,液态胺，腐蚀性，未另作规 定的或液态聚胺，腐蚀性， 未另作规定的,"AMINES, LIQUID, CORROSIVE, N. O. S. or POLYAMINES, LIQUID, CORROSIVE, N. O. S",8,-,Ⅰ,274,0,E0,P001,-,T14,TP2 TP27
2735,液态胺，腐蚀性，未另作规 定的或液态聚胺，腐蚀性， 未另作规定的,"AMINES, LIQUID, CORROSIVE, N. O. S. or POLYAMINES, LIQUID, CORROSIVE, N. O. S",8,-,Ⅱ,274,1 L,E2,P001 IBC02,-,T11,TP1 TP27
2735,液态胺，腐蚀性，未另作规 定的或液态聚胺，腐蚀性， 未另作规定的,"AMINES, LIQUID, CORROSIVE, N. O. S. or POLYAMINES, LIQUID, CORROSIVE, N. O. S",8,-,Ⅲ,223 274,5 L,E1,P001 IBC03 LP01,-,T7,TP1 TP28
2738,N-丁基苯胺,N-BUTYLANILINE,6.1,-,Ⅱ,-,100 mL,E4,P001 IBC02,-,T7,TP2
2739,丁酸酐,BUTYRIC ANHYDRIDE,8,-,Ⅲ,-,5 L,E1,P001 IBC03 LP01,-,T4,TP1
2740,氯甲酸正丙酯,n-PROPYL CHLOROFORMATE,6.1,3 8,Ⅰ,-,0,E0,P602,-,T20,TP2 TP13
2741,次氯酸钡，含有效氯高 于22%,BARIUM HYPOCHLORITE with more than 22% available chlorine,5.1,6.1,Ⅱ,-,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33
2742,氯甲酸酯，毒性，腐蚀性， 易燃，未另作规定的,"CHLOROFORMATES, TOXIC, CORROSIVE, FLAMMABLE, N. O. S.",6.1,3 8,Ⅱ,274,100 mL,E4,P001 IBC01,-,-,-
2743,氯甲酸正丁酯,n-BUTYL CHLOROFORMATE,6.1,3 8,Ⅱ,-,100 mL,E0,P001,-,T20,TP2 TP13
2744,氯甲酸环丁酯,CYCLOBUTYL CHLOROFORMATE,6.1,3 8,Ⅱ,-,100 mL,E4,P001 IBC01,-,T7,TP2 TP13
2745,氯甲酸氯甲酯,CHLOROMETHYL CHLOROFORMATE,6.1,8,Ⅱ,-,100 mL,E4,P001 IBC02,-,T7,TP2 TP13
2746,氯甲酸苯酯,PHENYL CHLOROFORMATE,6.1,8,Ⅱ,-,100 mL,E4,P001 IBC02,-,T7,TP2 TP13
2747,氯甲酸叔丁基环己酯,tert-BUTYLCYCLOHEXYL CHLOROFORMATE,6.1,-,Ⅲ,-,5 L,E1,P001 IBC03 LP01,-,T4,TP1
2748,氯甲酸-2-乙基己酯,2-ETHYLHEXYL CHLOROFORMATE,6.1,8,Ⅱ,-,100 mL,E4,P001 IBC02,-,T7,TP2 TP13
2749,四甲基硅烷,TETRAMETHYLSILANE,3,-,Ⅰ,-,0,E0,P001,-,T14,TP2
2750,"1,3-二氯-2-丙醇","1,3-DICHLOROPROPANOL-2",6.1,-,Ⅱ,-,100 mL,E4,P001 IBC02,-,T7,TP2
2751,二乙基硫代磷酰氯,DIETHYLTHIOPHOSPHORYL CHLORIDE,8,-,Ⅱ,-,1 L,E2,P001 IBC02,-,T7,TP2
2752,1，2-环氧-3-乙氧基丙烷,"1,2-EPOXY-3-ETHOXYPROPANE",3,-,Ⅲ,-,5 L,E1,P001 IBC03 LP01,-,T2,TP1
2753,液态 N-乙苄基甲苯胺,"N-ETHYLBENZYLTOLUIDINES, LIQUID",6.1,-,Ⅲ,-,5 L,E1,P001 IBC03 LP01,-,T7,TP1
