待分类物质和物品的说明,配装组,组合
"烟火物质或含有烟火物质的物品,或既含有爆炸性物质又含有照明、燃烧、催泪或
发烟物质的物品(水激活的物品或含有白磷、磷化物、发火物质、易燃液体或胶体、
或自燃液体的物品除外)",G,1.1G、1.2G、1.3G、1.4G
含有爆炸性物质和白磷的物品,H,1.2H、1.3H
含有爆炸性物质和易燃液体或胶体的物品,J,1.1J、1.2J、1.3J
含有爆炸性物质和毒性化学品的物品,K,1.2K、1.3K
"爆炸性物质或含有爆炸性物质并且具有特殊危险(例如由于水激活或含有自燃液
体、磷化物或发火物质)需要彼此隔离的物品",L,1.1L、1.2L、1.3L
主要含有极端不敏感起爆物质的物品,N,1.6N
"经过包装或设计的物质或物品:除了包装件被火烧损的情况外,能使意外起爆引
起的任何危险效应不波及包装件之外,在包装件被火烧损的情况下,所有爆炸和
迸射效应也有限,不至于妨碍或阻止在包装件紧邻处救火或采取其他应急措施",S,1.4S
"注1:配装组划定方法与GB14371一致。
注2:一级爆炸性物质,为产生爆炸的实际效果而制造的物质,它对热、撞击或者摩擦非常灵敏,即使很少的
量,爆炸或燃烧都很快。它可以传送引爆(在爆炸初始阶段)或引起临近的二级起爆物质爆燃。
注3:一级炸药,也称“起爆药”。
注4:二级起爆物质,用于起爆其他炸药的爆炸性物质,多具有爆炸度高和爆炸猛烈的特性。",,
